AcademicYear,CourseTitle,CoursePage
2017/2018,Information Modelling And Web Technologies,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85445&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,Knowledge Representation And Extraction,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85446&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,"Intangible Artifacts, Cultural Heritage And Multimedia",https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85447&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,Knowledge Organization And Digital Methods In The Cultural Heritage Domain,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85452&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,"Museology, Museography And Virtual Environments",https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85453&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,Computational Thinking And Programming,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85442&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,Data Modelling And Multimedia Databases,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85443&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,Scholarly Editing And Digital Approaches,https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85449&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,"Text Retrieval, Analysis And Mining",https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85450&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2017/2018,"Digital Text In The Humanities: Theories, Methodologies And Applications",https://www.unibo.it/en/teaching/course-unit-catalogue?codiceMateria=85448&annoAccademico=2017&codiceCorso=9224&single=True&search=True
2018/2019,Social Media Technologies,https://www.unibo.it/en/teaching/course-unit-catalogue/course-unit/2018/424653
2018/2019,Digital Humanities: Sources And Methods,https://www.unibo.it/en/teaching/course-unit-catalogue/course-unit/2018/424785
2018/2019,"Digital Text In The Humanities: Theories, Methodologies And Applications",https://www.unibo.it/en/teaching/course-unit-catalogue/course-unit/2018/424631
